"Text","Date","Retweets"
"we now live in a world where your neighbors slam the door on you when you ask if you can borrow some preparation H.",2018-02-17 15:59:59,2
"The Bootleggers - What Kind Of Woman https://t.co/Lt7TTjg6Up via @YouTube",2018-02-17 15:59:59,0
"RT @sarahchad_: Dear Donald Trump, 
I’m the 16 year old girl who tweeted you and told you i didn’t want your condolences, I wanted gun cont…",2018-02-17 15:59:59,148301
"RT @Jessmosciski: Fireman readiness. https://t.co/0DUVyKC5lU",2018-02-17 15:59:59,6
"@Articulatefello As long as music notes takes to negotiate a license with Bill. <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> Sorry it couldn't come sooner...",2018-02-17 15:59:59,0
"RT @Bakari_Sellers: But there is data that proves this false. Honest question though. Would your response had been the same if shooter were…",2018-02-17 15:59:59,62
"@76ShaunMcC He’s put a bit of beef in there like. <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3>",2018-02-17 15:59:59,0
"RT @Duchessmontagu: Johnathon Harvey was my husbands molester he molested many children for years!! Took them on trips off campus. School l…",2018-02-17 15:59:59,2
"@LukeDashjr Which part exactly?",2018-02-17 15:59:59,0
"RT @1942bs: name one instance of someone going on a mass killing spree with a rock https://t.co/vt7ZZD2Up7",2018-02-17 15:59:59,51614
"@_92914 for easier viewing and remembering maybe https://t.co/yeZ4w0Ztnr",2018-02-18 15:59:59,0
"7:00 PM 29.8°F 67% humidity 2.0 mph SSW 0.22 in."" rain 0.22 02/18/18 storm rain 6.000 "" of snow today",2018-02-18 15:59:59,0
"@darrenhester85 @J23app Damn. What a good friend. I’ll sell u mine for $400+shipping",2018-02-18 15:59:59,0
"@LiqthGoat No fam Cascade is the rink in ATL <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",2018-02-18 15:59:59,0
"RT @RealLifeKaz: Step 1: have a billion dollars. https://t.co/P7JoTuEf82",2018-02-18 15:59:59,84172
